City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Timmins,CA,48.4669,-81.3331,62.42,88,75,0.0,broken clouds
80,Progreso,MX,21.2833,-89.6667,77.11,89,38,6.78,scattered clouds
81,Sedan,FR,49.6667,5.0,62.73,91,0,5.06,clear sky
82,Bluff,NZ,-46.6,168.3333,45.81,80,37,9.01,scattered clouds
83,Pangai,TO,-19.8,-174.35,77.27,81,2,11.88,clear sky
84,Belyy Yar,RU,53.6039,91.3903,78.69,53,0,4.47,clear sky
85,Katsuura,JP,35.1333,140.3,93.31,78,11,10.33,few clouds
86,Rudnichnyy,RU,59.617,52.4703,71.28,49,0,1.57,clear sky
87,Lebu,CL,-37.6167,-73.65,47.44,73,70,12.26,broken clouds
88,Nizhniy Kuranakh,RU,58.8353,125.4869,87.19,34,86,7.07,overcast clouds
89,Kavieng,PG,-2.5744,150.7967,83.28,72,94,4.34,overcast clouds
90,Nikolskoye,RU,59.7035,30.7861,67.78,55,30,9.15,scattered clouds
91,Isangel,VU,-19.55,169.2667,76.53,82,97,10.4,overcast clouds
92,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,50,2,11.5,clear sky
93,Merrill,US,45.1805,-89.6835,65.97,97,1,0.0,clear sky
94,Kodiak,US,57.79,-152.4072,60.78,83,56,1.3,broken clouds
95,Tobane,BW,-21.95,27.9,44.04,91,0,4.52,clear sky
96,Sao Filipe,CV,14.8961,-24.4956,74.73,86,54,7.02,broken clouds
97,Ulladulla,AU,-35.35,150.4667,57.87,47,100,9.69,overcast clouds
98,Kandrian,PG,-6.2167,149.55,81.48,80,96,13.24,light rain
99,Pokrovsk,UA,48.282,37.1758,77.09,64,0,7.63,clear sky
100,Anloga,GH,5.7947,0.8973,76.64,84,100,11.59,overcast clouds
101,Atuona,PF,-9.8,-139.0333,77.74,76,7,25.37,clear sky
102,The Valley,AI,18.217,-63.0578,82.09,78,17,23.11,few clouds
103,Turayf,SA,31.6725,38.6637,91.44,17,6,15.57,clear sky
104,Norman Wells,CA,65.282,-126.8329,69.42,64,92,3.78,light rain
105,Ucluelet,CA,48.9329,-125.5528,65.05,85,7,7.18,clear sky
106,Narsaq,GL,60.9167,-46.05,48.42,98,100,3.33,light rain
107,Santa Cruz De La Palma,ES,28.6835,-17.7642,69.94,94,75,12.66,broken clouds
108,Xicotencatl,MX,23.0167,-98.8833,79.72,89,31,2.98,scattered clouds
109,Haimen,CN,23.1935,116.6142,78.28,91,100,17.83,light rain
110,Baruun-Urt,MN,46.6806,113.2792,80.29,42,57,2.17,broken clouds
111,Hamilton,US,39.1834,-84.5333,70.99,89,1,0.0,clear sky
112,Bredasdorp,ZA,-34.5322,20.0403,54.28,95,71,5.35,broken clouds
113,Benalla,AU,-36.55,145.9833,51.98,73,100,3.89,overcast clouds
114,Doha,QA,25.2867,51.5333,96.78,56,0,4.61,clear sky
