City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
410,Ulaangom,MN,79.03,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
412,Lorengau,PG,84.7,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
413,Devils Lake,US,78.94,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
416,Shenzhen,CN,80.92,moderate rain,22.5455,114.0683,Shenzhen Shanghai Hotel
431,Bafra,TR,81.82,clear sky,41.5678,35.9069,Sevgi Otel
433,Tecoanapa,MX,78.57,broken clouds,16.5167,-98.75,Hotel Manglares
438,Key Largo,US,82.4,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
445,Shenjiamen,CN,82.9,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
456,Puerto El Triunfo,SV,81.52,broken clouds,13.2833,-88.55,Hotel Jardin
459,Yumen,CN,81.41,broken clouds,40.2833,97.2,
465,Victoria,HK,81.03,moderate rain,22.2855,114.1577,Mini Hotel Central
467,Marsa Matruh,EG,79.45,clear sky,31.3525,27.2453,Beau Site
472,Pemangkat,ID,85.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
475,Gat,IL,80.91,clear sky,31.61,34.7642,OlusHome
476,Bontang,ID,83.37,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
477,Xining,CN,78.62,clear sky,36.6167,101.7667,Super Leisure Hotel
479,Atasu,KZ,78.78,clear sky,48.6814,71.6433,Dostyk
482,Puranpur,IN,82.04,overcast clouds,28.5167,80.15,Randhawa Residency
484,Maracaibo,VE,80.22,clear sky,10.6317,-71.6406,Motel Aladdin
486,Gizo,SB,81.99,moderate rain,-8.103,156.8419,Imagination Island
493,Houston,US,84.06,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
498,Lamar,US,82.06,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
503,Shar,KZ,78.6,overcast clouds,49.5886,81.0453,
504,Tagusao,PH,84.4,overcast clouds,9.1924,117.8141,Toledo
509,Hirara,JP,84.25,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
515,Bairiki,KI,86.0,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
518,Znamenka,RU,80.64,clear sky,52.4167,41.4311,Gostinitsa Yeseninskaya
524,Bojnurd,IR,82.35,clear sky,37.4747,57.329,Homag Commercial & Social Complex
525,Daru,PG,80.35,overcast clouds,-9.0763,143.2092,Daru Lodge
527,Komsomolskiy,UZ,83.62,broken clouds,40.4272,71.7189,Ikathouse
531,Birjand,IR,84.02,clear sky,32.8663,59.2211,Birjand Tourist Hotel
532,Badamdar,AZ,85.95,clear sky,40.3394,49.8039,The Crown Hotel Baku
534,Macheng,CN,80.38,moderate rain,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
535,Ojinaga,MX,85.41,clear sky,29.5667,-104.4167,Suites Las Palmas
537,Mahibadhoo,MV,83.39,overcast clouds,3.7833,72.9667,Omadhoo Inn
538,Laredo,US,86.0,few clouds,27.5064,-99.5075,La Posada Hotel
539,Kokopo,PG,82.24,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
546,Qui Nhon,VN,85.39,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
549,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
551,Sulangan,PH,85.15,overcast clouds,11.1373,123.7228,Maia's Beach Resort
557,Xuanhua,CN,84.56,scattered clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
561,Tondano,ID,84.29,overcast clouds,1.3038,124.9112,Villa Bella
563,Tautira,PF,80.62,moderate rain,-17.7333,-149.15,Pension Oaoa
564,Ayagoz,KZ,83.39,broken clouds,47.9714,80.4392,Gostinitsa Nur
571,Sovetskaya Gavan,RU,78.93,broken clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
576,Sorong,ID,80.8,light rain,-0.8833,131.25,waigo splash hotel
580,Wewak,PG,84.79,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
581,San Francisco De Coray,HN,80.01,clear sky,13.6614,-87.5328,Las Uvas comunid
591,Kamyshla,RU,79.39,clear sky,54.1169,52.1426,Дом 100 м.кв. на трассе М5
595,Zhuanghe,CN,80.4,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
602,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
618,Honiara,SB,84.06,overcast clouds,-9.4333,159.95,Heritage Park Hotel
638,Kaseda,JP,84.54,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
643,Pochutla,MX,79.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
652,Banjar,ID,84.06,scattered clouds,-8.19,114.9675,The Hamsa Resort
663,Kulhudhuffushi,MV,83.17,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
667,Erzin,TR,82.92,clear sky,36.9559,36.2,Artemis Otel
671,Makarov,RU,81.09,broken clouds,48.6333,142.8,Gostinitsa ''yana''
681,Mae Hong Son,TH,78.03,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
698,Dhidhdhoo,MV,83.34,overcast clouds,6.8833,73.1,Dhidhoo beach
703,Bada,RU,81.45,light rain,51.392,109.8717,Kafe Gostinitsa
705,Snyder,US,80.94,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
713,Fereydun Kenar,IR,84.13,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
721,Auki,SB,84.99,overcast clouds,-8.7676,160.7034,Auki Motel
