City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Qaanaaq,GL,2021-07-19 03:15:24,77.484,-69.3632,30.69,85,22,3.49
68,Kainantu,PG,2021-07-19 03:22:10,-6.2887,145.8655,74.3,54,100,5.59
69,Soe,ID,2021-07-19 03:22:10,-9.8607,124.284,81.01,37,97,9.26
70,Bengkulu,ID,2021-07-19 03:14:58,-3.8004,102.2655,81.81,73,80,3.51
71,Okemos,US,2021-07-19 03:18:07,42.7223,-84.4275,70.14,85,40,0.0
72,Hermanus,ZA,2021-07-19 03:14:50,-34.4187,19.2345,53.91,82,73,8.95
73,Encruzilhada Do Sul,BR,2021-07-19 03:22:11,-30.5439,-52.5219,42.48,73,100,14.94
74,Bandarbeyla,SO,2021-07-19 03:17:18,9.4942,50.8122,78.44,71,94,28.74
75,Thompson,CA,2021-07-19 03:15:48,55.7435,-97.8558,50.16,93,90,3.44
76,Bredasdorp,ZA,2021-07-19 03:15:32,-34.5322,20.0403,50.29,87,69,1.14
77,Dicabisagan,PH,2021-07-19 03:22:12,17.0818,122.4157,88.39,64,100,3.36
78,Nome,US,2021-07-19 03:15:52,64.5011,-165.4064,62.17,67,1,6.91
79,Pasir Gudang,MY,2021-07-19 03:22:12,1.4584,103.8805,88.0,69,75,6.91
80,Abha,SA,2021-07-19 03:22:13,18.2164,42.5053,64.22,52,40,6.91
81,Hovd,MN,2021-07-19 03:22:13,48.0056,91.6419,69.31,37,1,4.09
82,Georgetown,MY,2021-07-19 03:15:34,5.4112,100.3354,87.75,70,20,1.14
83,Turukhansk,RU,2021-07-19 03:13:54,65.8167,87.9833,60.3,50,71,4.45
84,Pangnirtung,CA,2021-07-19 03:22:13,66.1451,-65.7125,44.17,92,100,1.21
85,Guerrero Negro,MX,2021-07-19 03:17:04,27.9769,-114.0611,71.74,80,5,14.36
86,Hilo,US,2021-07-19 03:11:13,19.7297,-155.09,74.93,91,90,0.0
87,Avera,US,2021-07-19 03:20:37,33.194,-82.5271,73.74,80,99,8.75
88,Salamiyah,SY,2021-07-19 03:22:14,35.0113,37.0532,76.57,35,0,5.57
89,Maricao,PR,2021-07-19 03:22:14,18.1808,-66.9799,75.42,92,93,5.59
90,Mahebourg,MU,2021-07-19 03:15:30,-20.4081,57.7,67.24,94,40,3.44
91,Pucara,PE,2021-07-19 03:22:15,-15.9803,-71.4606,32.13,20,27,4.81
92,Mahibadhoo,MV,2021-07-19 03:13:28,3.7833,72.9667,83.1,72,100,7.52
93,Muravlenko,RU,2021-07-19 03:22:15,63.7898,74.523,62.02,62,3,4.79
94,Marawi,PH,2021-07-19 03:17:51,7.9986,124.2928,82.76,57,77,5.39
95,Manicore,BR,2021-07-19 03:22:16,-5.8092,-61.3003,78.48,56,52,1.05
96,Swan Hill,AU,2021-07-19 03:22:16,-35.3378,143.5544,56.37,60,92,9.73
97,Baisha,CN,2021-07-19 03:22:16,26.5222,110.9311,86.9,68,44,3.18
98,Lagunas,PE,2021-07-19 03:22:17,-5.2269,-75.6753,71.38,99,44,2.71
99,Port Elizabeth,ZA,2021-07-19 03:18:03,-33.918,25.5701,63.1,31,0,10.27
100,Estelle,US,2021-07-19 03:22:17,29.8458,-90.1067,82.99,79,1,3.44
101,Khakhea,BW,2021-07-19 03:22:18,-24.6895,23.494,42.78,41,0,8.25
102,Boende,CD,2021-07-19 03:22:18,-0.2167,20.8667,71.98,79,54,1.57
103,Balkanabat,TM,2021-07-19 03:22:18,39.5108,54.3671,89.44,23,0,4.18
104,New Norfolk,AU,2021-07-19 03:15:23,-42.7826,147.0587,56.66,46,100,6.22
105,Tuktoyaktuk,CA,2021-07-19 03:16:52,69.4541,-133.0374,55.4,76,20,6.91
106,Ilulissat,GL,2021-07-19 03:15:33,69.2167,-51.1,57.22,51,100,9.22
107,Cabo San Lucas,MX,2021-07-19 03:15:19,22.8909,-109.9124,87.51,62,100,4.0
108,East London,ZA,2021-07-19 03:15:22,-33.0153,27.9116,59.94,29,0,12.66
109,Neuquen,AR,2021-07-19 03:22:19,-38.9516,-68.0591,31.89,80,0,0.0
110,Bustamante,MX,2021-07-19 03:22:19,26.5333,-100.5,85.57,46,2,6.91
111,Airai,TL,2021-07-19 03:15:49,-8.9266,125.4092,74.77,32,69,4.79
112,Loviisa,FI,2021-07-19 03:22:20,60.4566,26.2251,58.23,79,55,9.13
113,Hualmay,PE,2021-07-19 03:13:01,-11.0964,-77.6139,62.67,84,60,10.38
114,Inuvik,CA,2021-07-19 03:17:30,68.3499,-133.7218,61.66,100,40,3.44
115,Hithadhoo,MV,2021-07-19 03:16:00,-0.6,73.0833,81.48,69,37,1.14
116,Bousso,TD,2021-07-19 03:22:20,10.4795,16.7117,72.36,90,100,4.41
117,Alice Springs,AU,2021-07-19 03:15:29,-23.7,133.8833,67.55,32,4,5.75
118,Port Hardy,CA,2021-07-19 03:22:21,50.6996,-127.4199,60.98,67,75,9.22
119,Ballina,AU,2021-07-19 03:22:21,-28.8667,153.5667,68.18,62,72,4.83
120,Svetlogorsk,BY,2021-07-19 03:22:21,52.6333,29.7333,66.49,94,97,5.1
121,Emirdag,TR,2021-07-19 03:22:22,39.0197,31.15,72.72,40,0,6.4
122,Paamiut,GL,2021-07-19 03:22:22,61.994,-49.6678,42.98,98,100,15.61
123,Lagoa,PT,2021-07-19 03:13:42,39.05,-27.9833,67.78,76,35,16.22
124,Hilton Head Island,US,2021-07-19 03:18:39,32.2163,-80.7526,78.98,82,40,0.0
125,Pimentel,PE,2021-07-19 03:20:13,-6.8367,-79.9342,64.99,84,98,3.0
126,Genhe,CN,2021-07-19 03:22:23,50.7833,121.5167,63.03,98,100,1.95
127,Vestmannaeyjar,IS,2021-07-19 03:17:01,63.4427,-20.2734,50.2,88,86,9.53
128,Kropotkin,RU,2021-07-19 03:20:25,45.4375,40.5756,74.19,69,0,5.23
129,Ancud,CL,2021-07-19 03:17:34,-41.8697,-73.8203,46.22,86,100,4.32
130,Kaitangata,NZ,2021-07-19 03:15:42,-46.2817,169.8464,49.93,81,100,3.89
131,Mar Del Plata,AR,2021-07-19 03:14:48,-38.0023,-57.5575,49.08,61,100,3.0
132,Talnakh,RU,2021-07-19 03:16:45,69.4865,88.3972,52.52,65,92,4.81
133,La Baule-Escoublac,FR,2021-07-19 03:22:23,47.2922,-2.364,69.87,82,0,4.61
134,Bure,ET,2021-07-19 03:22:24,10.7,37.0667,52.18,92,90,3.2
135,Prince George,CA,2021-07-19 03:22:24,53.9166,-122.753,67.24,68,20,3.44
136,Berlevag,NO,2021-07-19 03:17:38,70.8578,29.0864,48.2,93,100,20.24
137,Quelimane,MZ,2021-07-19 03:13:02,-17.8786,36.8883,60.94,95,18,5.7
138,Cascas,PE,2021-07-19 03:22:24,-7.4833,-78.8167,67.14,63,8,3.65
139,Tasiilaq,GL,2021-07-19 03:15:35,65.6145,-37.6368,41.16,82,82,6.67
140,Sungaipenuh,ID,2021-07-19 03:22:25,-2.0833,101.3833,74.73,65,100,3.22
141,Naze,JP,2021-07-19 03:17:06,28.3667,129.4833,85.12,83,92,21.45
142,Souillac,MU,2021-07-19 03:16:10,-20.5167,57.5167,67.35,94,40,3.44
143,Teya,RU,2021-07-19 03:22:25,60.3778,92.6267,58.32,97,100,4.36
144,Kedrovyy,RU,2021-07-19 03:22:26,56.1667,91.8167,70.21,90,100,3.42
145,Vysokogornyy,RU,2021-07-19 03:22:26,50.1167,139.15,83.35,38,50,7.72
146,Usinsk,RU,2021-07-19 03:22:26,65.9939,57.5281,65.3,54,98,10.11
147,Cape Town,ZA,2021-07-19 03:12:04,-33.9258,18.4232,54.12,96,47,3.27
148,Bama,NG,2021-07-19 03:22:27,11.5221,13.6856,75.52,77,100,8.93
149,Galesong,ID,2021-07-19 03:16:11,-5.3166,119.3661,87.82,68,20,2.1
150,Palmer,US,2021-07-19 03:15:42,42.1584,-72.3287,71.29,85,90,1.01
151,Katobu,ID,2021-07-19 03:22:27,-4.9408,122.5276,84.09,65,90,6.8
152,Saint George,US,2021-07-19 03:14:53,37.1041,-113.5841,86.63,47,1,4.0
153,Idanre,NG,2021-07-19 03:22:28,7.1127,5.1159,68.79,96,100,2.59
154,Tiksi,RU,2021-07-19 03:15:53,71.6872,128.8694,47.8,66,100,1.52
155,Capao Da Canoa,BR,2021-07-19 03:20:08,-29.7456,-50.0097,51.49,59,11,27.09
156,Provideniya,RU,2021-07-19 03:16:03,64.3833,-173.3,50.11,87,90,11.18
157,Port Alfred,ZA,2021-07-19 03:15:28,-33.5906,26.891,61.79,31,0,11.34
